pm10,pm25,so2,co,o3,no2,categori
38.0,53.0,29.0,6.0,31.0,13.0,SEDANG
27.0,46.0,27.0,7.0,47.0,7.0,BAIK
44.0,58.0,25.0,7.0,40.0,13.0,SEDANG
30.0,48.0,24.0,4.0,32.0,7.0,BAIK
38.0,53.0,24.0,6.0,31.0,9.0,SEDANG
41.0,58.0,23.0,13.0,46.0,13.0,SEDANG
35.0,47.0,22.0,6.0,39.0,10.0,BAIK
37.0,54.0,26.0,16.0,17.0,10.0,SEDANG
47.0,61.0,16.0,27.0,22.0,12.0,SEDANG
23.0,25.0,16.0,11.0,33.0,8.0,BAIK
38.0,54.0,17.0,14.0,27.0,10.0,SEDANG
29.0,50.0,20.0,12.0,26.0,15.0,BAIK
34.0,44.0,17.0,13.0,20.0,9.0,BAIK
36.0,57.0,15.0,15.0,26.0,13.0,SEDANG
42.0,62.0,14.0,15.0,32.0,12.0,SEDANG
52.0,73.0,15.0,17.0,25.0,14.0,SEDANG
52.0,71.0,17.0,15.0,26.0,14.0,SEDANG
40.0,52.0,16.0,11.0,26.0,12.0,SEDANG
31.0,41.0,13.0,12.0,25.0,12.0,BAIK
35.0,34.0,12.0,12.0,22.0,13.0,BAIK
43.0,51.0,13.0,14.0,28.0,15.0,SEDANG
49.0,63.0,14.0,14.0,28.0,15.0,SEDANG
72.0,108.0,14.0,43.0,44.0,20.0,TIDAK SEHAT
33.0,48.0,12.0,14.0,23.0,10.0,BAIK
56.0,82.0,13.0,29.0,62.0,15.0,SEDANG
52.0,70.0,14.0,19.0,28.0,13.0,SEDANG
20.0,20.0,13.0,10.0,19.0,8.0,BAIK
27.0,41.0,14.0,18.0,17.0,11.0,BAIK
30.0,53.0,16.0,17.0,24.0,11.0,SEDANG
27.0,37.0,13.0,16.0,24.0,12.0,BAIK
36.0,51.0,13.0,16.0,26.0,10.0,SEDANG
38.0,58.0,2.0,11.0,65.0,6.0,SEDANG
29.0,46.0,35.0,12.0,80.0,12.0,SEDANG
37.0,59.0,35.0,10.0,86.0,13.0,SEDANG
30.0,49.0,35.0,9.0,77.0,7.0,SEDANG
35.0,52.0,35.0,8.0,77.0,7.0,SEDANG
48.0,60.0,35.0,12.0,85.0,14.0,SEDANG
35.0,50.0,35.0,9.0,72.0,15.0,SEDANG
38.0,55.0,35.0,11.0,71.0,9.0,SEDANG
51.0,67.0,12.0,27.0,80.0,12.0,SEDANG
24.0,39.0,13.0,10.0,59.0,14.0,SEDANG
35.0,54.0,13.0,12.0,68.0,13.0,SEDANG
27.0,51.0,15.0,7.0,77.0,15.0,SEDANG
33.0,44.0,13.0,10.0,68.0,7.0,SEDANG
28.0,49.0,11.0,6.0,65.0,11.0,SEDANG
42.0,60.0,11.0,14.0,65.0,12.0,SEDANG
49.0,71.0,13.0,10.0,67.0,9.0,SEDANG
55.0,75.0,16.0,10.0,93.0,10.0,SEDANG
35.0,49.0,13.0,5.0,78.0,9.0,SEDANG
31.0,42.0,11.0,6.0,58.0,9.0,SEDANG
42.0,45.0,11.0,6.0,72.0,6.0,SEDANG
46.0,44.0,12.0,9.0,67.0,13.0,SEDANG
51.0,60.0,12.0,8.0,67.0,16.0,SEDANG
73.0,108.0,14.0,43.0,104.0,19.0,TIDAK SEHAT
51.0,59.0,12.0,9.0,75.0,7.0,SEDANG
62.0,86.0,14.0,26.0,134.0,14.0,TIDAK SEHAT
54.0,76.0,26.0,14.0,71.0,12.0,SEDANG
21.0,29.0,25.0,7.0,63.0,5.0,SEDANG
28.0,49.0,25.0,10.0,53.0,7.0,SEDANG
28.0,49.0,26.0,7.0,65.0,9.0,SEDANG
27.0,39.0,25.0,10.0,64.0,8.0,SEDANG
38.0,55.0,24.0,11.0,68.0,7.0,SEDANG
43.0,56.0,15.0,10.0,33.0,5.0,SEDANG
58.0,86.0,15.0,22.0,38.0,5.0,SEDANG
64.0,93.0,14.0,20.0,35.0,5.0,SEDANG
50.0,67.0,13.0,15.0,17.0,4.0,SEDANG
59.0,89.0,15.0,19.0,42.0,7.0,SEDANG
52.0,81.0,18.0,28.0,52.0,11.0,SEDANG
22.0,52.0,16.0,12.0,44.0,5.0,SEDANG
26.0,68.0,21.0,22.0,40.0,9.0,SEDANG
25.0,77.0,17.0,32.0,31.0,8.0,SEDANG
15.0,33.0,16.0,7.0,23.0,4.0,BAIK
54.0,72.0,17.0,15.0,56.0,4.0,SEDANG
54.0,58.0,18.0,9.0,37.0,4.0,SEDANG
26.0,47.0,16.0,6.0,39.0,3.0,BAIK
29.0,78.0,20.0,14.0,40.0,8.0,SEDANG
24.0,82.0,19.0,16.0,64.0,6.0,SEDANG
