"Tanggal","Tavg","RH_avg","RR","ff_avg"
"01-01-2018","28.6","78","0","1"
"02-01-2018","28","83","2.9","0"
"03-01-2018","29","80","1","0"
"04-01-2018","28.9","83","","1"
"05-01-2018","28.2","82","3","0"
"06-01-2018","27.9","81","0","1"
"07-01-2018","26.8","88","9.5","0"
"08-01-2018","28.2","80","0.5","1"
"09-01-2018","29.3","76","0","1"
"10-01-2018","28.4","82","1.5","2"
"11-01-2018","27.6","83","26.1","2"
"12-01-2018","27.9","78","8.2","1"
"13-01-2018","28.2","79","0","1"
"14-01-2018","28.1","78","0","2"
"15-01-2018","28.5","80","0","2"
"16-01-2018","28.7","79","8888","2"
"17-01-2018","29.2","76","","2"
"18-01-2018","28.4","81","0","1"
"19-01-2018","26.9","88","39.6","1"
"20-01-2018","26.6","87","47","1"
"21-01-2018","28","81","20.5","3"
"22-01-2018","28.2","80","","2"
"23-01-2018","27.1","87","6.6","2"
"24-01-2018","28.3","82","2.8","1"
"25-01-2018","27.3","86","10.8","3"
"26-01-2018","27.4","84","2","3"
"27-01-2018","28.6","80","4.4","2"
"28-01-2018","28.5","81","0","3"
"29-01-2018","28.7","79","0","3"
"30-01-2018","28.5","79","0","3"
"31-01-2018","27.1","86","4.4","2"
"01-02-2018","27.3","87","9.2","1"
"02-02-2018","28.5","80","0","1"
"03-02-2018","27.6","85","30.2","2"
"04-02-2018","28.6","78","6.8","2"
"05-02-2018","28.4","80","0","2"
"06-02-2018","27.6","77","0","2"
"07-02-2018","29.7","72","0","2"
"08-02-2018","26.5","86","8888","1"
"09-02-2018","27.2","84","40","1"
"10-02-2018","28","81","7","2"
"11-02-2018","27.8","83","0","2"
"12-02-2018","28.6","78","0","3"
"13-02-2018","28.1","80","8888","2"
"14-02-2018","28.8","81","3.4","3"
"15-02-2018","27.7","81","","2"
"16-02-2018","27.8","81","46.3","2"
"17-02-2018","28.3","80","11.6","2"
"18-02-2018","29.5","79","2.4","2"
"19-02-2018","28.9","79","0","1"
"20-02-2018","28.3","79","1.2","2"
"21-02-2018","29.1","79","20.3","1"
"22-02-2018","28","80","0","1"
"23-02-2018","27.5","83","7.6","1"
"24-02-2018","26.6","87","0","1"
"25-02-2018","28","82","0.9","1"
"26-02-2018","26.3","87","34.6","1"
"27-02-2018","28.6","78","0","1"
"28-02-2018","28","83","1","1"
"01-03-2018","28.1","87","0","1"
"02-03-2018","29","80","7.1","1"
"03-03-2018","27.8","86","0","0"
"04-03-2018","29.5","79","1.5","1"
"05-03-2018","28","86","5.1","1"
"06-03-2018","28.5","79","4.5","2"
"07-03-2018","27.7","83","8888","1"
"08-03-2018","28.3","83","12","1"
"09-03-2018","28.6","82","5.5","1"
"10-03-2018","28.5","82","20","1"
"11-03-2018","27.8","83","33","1"
"12-03-2018","27.5","82","0","1"
"13-03-2018","26.9","87","0","1"
"14-03-2018","29.1","76","7.3","1"
"15-03-2018","29","78","0","1"
"16-03-2018","28.7","78","2.5","1"
"17-03-2018","27.5","84","15.2","1"
"18-03-2018","27.7","81","10.5","1"
"19-03-2018","28.6","79","0","1"
"20-03-2018","29.4","76","0","1"
"21-03-2018","29.1","79","20.5","2"
"22-03-2018","28.5","79","0","2"
"23-03-2018","28.9","76","","1"
"24-03-2018","28.9","81","0","1"
"25-03-2018","27.7","86","17.7","1"
"26-03-2018","28.2","80","9.2","1"
"27-03-2018","28.6","80","0","1"
"28-03-2018","28.4","79","0","2"
"29-03-2018","29.6","75","19.7","2"
"30-03-2018","29.4","78","4.7","2"
"31-03-2018","28.9","79","9.8","1"
"01-04-2018","29","77","0","2"
"02-04-2018","28.9","80","3.5","1"
"03-04-2018","28.8","78","8.2","1"
"04-04-2018","29.7","74","0","1"
"05-04-2018","30.1","70","0","1"
"06-04-2018","30.2","74","0","1"
"07-04-2018","29.4","75","8888","1"
"08-04-2018","28.7","77","0","1"
"09-04-2018","29.5","75","0","1"
"10-04-2018","29.7","72","8888","1"
"11-04-2018","30.1","72","0","1"
"12-04-2018","30.7","74","0","1"
"13-04-2018","30.2","75","0","1"
"14-04-2018","31","74","0","1"
"15-04-2018","30.7","70","","1"
"16-04-2018","30","73","0","1"
"17-04-2018","29.5","78","","1"
"18-04-2018","29.4","78","3.6","1"
"19-04-2018","29.6","75","2.2","1"
"20-04-2018","29.9","75","0","2"
"21-04-2018","29.6","74","","0"
"22-04-2018","29","80","0","2"
"23-04-2018","29","80","4.6","1"
"24-04-2018","29.5","76","2.2","1"
"25-04-2018","29.5","77","4.2","1"
"26-04-2018","29.1","79","15.5","1"
"27-04-2018","29.7","76","0","1"
"28-04-2018","29.7","73","0","1"
"29-04-2018","28.7","70","","1"
"30-04-2018","28.7","68","0","2"
"01-05-2018","29.2","69","","2"
"02-05-2018","28.5","68","0","1"
"03-05-2018","28.6","66","0","1"
"04-05-2018","28.6","62","0","2"
"05-05-2018","28.9","71","0","2"
"06-05-2018","30.9","71","0","3"
"07-05-2018","29.6","72","0","2"
"08-05-2018","29.8","72","0","2"
"09-05-2018","29.7","69","0","2"
"10-05-2018","30.1","68","0","2"
"11-05-2018","29.3","69","0","2"
"12-05-2018","29.4","68","0","2"
"13-05-2018","29.3","69","0","1"
"14-05-2018","29.8","69","","3"
"15-05-2018","29.9","75","0","3"
"16-05-2018","29.7","76","0","2"
"17-05-2018","29.5","74","","1"
"18-05-2018","29.1","72","0","2"
"19-05-2018","29.1","71","0","1"
"20-05-2018","29.3","72","0","1"
"21-05-2018","28.1","79","8888","2"
"22-05-2018","30.1","76","0.9","3"
"23-05-2018","30.3","76","1.2","3"
"24-05-2018","29.6","76","2","2"
"25-05-2018","29.7","77","","2"
"26-05-2018","29.4","76","0","2"
"27-05-2018","29.4","70","0","1"
"28-05-2018","28.9","70","0","1"
"29-05-2018","29","69","","1"
"30-05-2018","27.8","72","0","1"
"31-05-2018","28","69","0","2"
"01-06-2018","27.8","70","0","1"
"02-06-2018","28.7","72","0","2"
"03-06-2018","29.2","72","0","1"
"04-06-2018","29","76","0","2"
"05-06-2018","29.8","75","0","1"
"06-06-2018","29.7","74","8888","1"
"07-06-2018","29.4","76","0","2"
"08-06-2018","28.8","74","3.5","2"
"09-06-2018","28.6","72","0","1"
"10-06-2018","28.4","69","","2"
"11-06-2018","29.1","73","0","2"
"12-06-2018","29.3","73","0","1"
"13-06-2018","28.2","73","0","1"
"14-06-2018","28.1","68","0","2"
"15-06-2018","28.1","68","0","2"
"16-06-2018","28","72","0","3"
"17-06-2018","28.9","71","0","3"
"18-06-2018","28.4","74","","2"
"19-06-2018","28.5","73","0","2"
"20-06-2018","28.1","75","0","1"
"21-06-2018","28","78","21","1"
"22-06-2018","28.4","78","1","2"
"23-06-2018","28.6","74","0","2"
"24-06-2018","28.8","73","0","3"
"25-06-2018","28.7","74","0","2"
"26-06-2018","28.1","75","","1"
"27-06-2018","28.5","69","0","1"
"28-06-2018","28.6","70","0","1"
"29-06-2018","27.8","70","0","1"
"30-06-2018","27.8","72","0","1"
"01-07-2018","28","67","0","2"
"02-07-2018","28.1","68","0","1"
"03-07-2018","27.8","67","0","1"
"04-07-2018","28.5","72","0","1"
"05-07-2018","27.9","65","0","2"
"06-07-2018","26.8","65","0","2"
"07-07-2018","26.8","70","0","2"
"08-07-2018","27.5","68","","2"
"09-07-2018","27.5","72","0","2"
"10-07-2018","27.4","70","0","2"
"11-07-2018","27","70","0","2"
"12-07-2018","27.3","71","","2"
"13-07-2018","27.2","69","0","1"
"14-07-2018","27","71","0","2"
"15-07-2018","27.3","67","0","2"
"16-07-2018","26.6","68","0","2"
"17-07-2018","27","70","0","2"
"18-07-2018","27.6","72","0","2"
"19-07-2018","27.8","70","","2"
"20-07-2018","28.2","71","0","2"
"21-07-2018","28.2","71","0","2"
"22-07-2018","28.5","73","0","2"
"23-07-2018","28.8","71","0","2"
"24-07-2018","27.2","71","0","2"
"25-07-2018","27","67","0","2"
"26-07-2018","26.8","67","0","2"
"27-07-2018","26.9","68","0","1"
"28-07-2018","27.6","69","0","1"
"29-07-2018","27.4","69","0","1"
"30-07-2018","27.8","70","0","2"
"31-07-2018","28","69","0","2"
"01-08-2018","28","69","","2"
"02-08-2018","27.1","64","","2"
"03-08-2018","25.9","65","0","1"
"04-08-2018","25.6","67","0","2"
"05-08-2018","26","68","0","2"
"06-08-2018","26","64","0","2"
"07-08-2018","26.3","68","0","2"
"08-08-2018","28.1","69","0","2"
"09-08-2018","28.4","68","0","3"
"10-08-2018","28.1","71","0","2"
"11-08-2018","27.2","73","0","2"
"12-08-2018","28","67","0","2"
"13-08-2018","27.6","71","0","2"
"14-08-2018","28","67","0","3"
"15-08-2018","28.1","64","","2"
"16-08-2018","27.2","60","0","2"
"17-08-2018","26.7","61","0","2"
"18-08-2018","26.4","67","0","2"
"19-08-2018","27.3","67","0","3"
"20-08-2018","28.2","69","0","2"
"21-08-2018","28.1","70","0","2"
"22-08-2018","28.5","67","","2"
