Tanggal,Tavg,RH_avg,ff_avg,RR
01-01-2018,28.6,78,1,0
02-01-2018,28,83,0,2.9
03-01-2018,29,80,0,1
04-01-2018,28.9,83,1,0
05-01-2018,28.2,82,0,3
06-01-2018,27.9,81,1,0
07-01-2018,26.8,88,0,9.5
08-01-2018,28.2,80,1,0.5
09-01-2018,29.3,76,1,0
10-01-2018,28.4,82,2,1.5
11-01-2018,27.6,83,2,26.1
12-01-2018,27.9,78,1,8.2
13-01-2018,28.2,79,1,0
14-01-2018,28.1,78,2,0
15-01-2018,28.5,80,2,0
16-01-2018,28.7,79,2,
17-01-2018,29.2,76,2,0
18-01-2018,28.4,81,1,0
19-01-2018,26.9,88,1,39.6
20-01-2018,26.6,87,1,47
21-01-2018,28,81,3,20.5
22-01-2018,28.2,80,2,0
23-01-2018,27.1,87,2,6.6
24-01-2018,28.3,82,1,2.8
25-01-2018,27.3,86,3,10.8
26-01-2018,27.4,84,3,2
27-01-2018,28.6,80,2,4.4
28-01-2018,28.5,81,3,0
29-01-2018,28.7,79,3,0
30-01-2018,28.5,79,3,0
31-01-2018,27.1,86,2,4.4
01-02-2018,27.3,87,1,9.2
02-02-2018,28.5,80,1,0
03-02-2018,27.6,85,2,30.2
04-02-2018,28.6,78,2,6.8
05-02-2018,28.4,80,2,0
06-02-2018,27.6,77,2,0
07-02-2018,29.7,72,2,0
08-02-2018,26.5,86,1,
09-02-2018,27.2,84,1,40
10-02-2018,28,81,2,7
11-02-2018,27.8,83,2,0
12-02-2018,28.6,78,3,0
13-02-2018,28.1,80,2,
14-02-2018,28.8,81,3,3.4
15-02-2018,27.7,81,2,0
16-02-2018,27.8,81,2,46.3
17-02-2018,28.3,80,2,11.6
18-02-2018,29.5,79,2,2.4
19-02-2018,28.9,79,1,0
20-02-2018,28.3,79,2,1.2
21-02-2018,29.1,79,1,20.3
22-02-2018,28,80,1,0
23-02-2018,27.5,83,1,7.6
24-02-2018,26.6,87,1,0
25-02-2018,28,82,1,0.9
26-02-2018,26.3,87,1,34.6
27-02-2018,28.6,78,1,0
28-02-2018,28,83,1,1
01-03-2018,28.1,87,1,0
02-03-2018,29,80,1,7.1
03-03-2018,27.8,86,0,0
04-03-2018,29.5,79,1,1.5
05-03-2018,28,86,1,5.1
06-03-2018,28.5,79,2,4.5
07-03-2018,27.7,83,1,
08-03-2018,28.3,83,1,12
09-03-2018,28.6,82,1,5.5
10-03-2018,28.5,82,1,20
11-03-2018,27.8,83,1,33
12-03-2018,27.5,82,1,0
13-03-2018,26.9,87,1,0
14-03-2018,29.1,76,1,7.3
15-03-2018,29,78,1,0
16-03-2018,28.7,78,1,2.5
17-03-2018,27.5,84,1,15.2
18-03-2018,27.7,81,1,10.5
19-03-2018,28.6,79,1,0
20-03-2018,29.4,76,1,0
21-03-2018,29.1,79,2,20.5
22-03-2018,28.5,79,2,0
23-03-2018,28.9,76,1,0
24-03-2018,28.9,81,1,0
25-03-2018,27.7,86,1,17.7
26-03-2018,28.2,80,1,9.2
27-03-2018,28.6,80,1,0
28-03-2018,28.4,79,2,0
29-03-2018,29.6,75,2,19.7
30-03-2018,29.4,78,2,4.7
31-03-2018,28.9,79,1,9.8
01-04-2018,29,77,2,0
